countryterritoryCode,Country,tourist_arrival_2018,tourist_departure_2018,perc_diabetes_2019,fempop_2018,male_pop_2018,gdp_capita_2018,sanitation_access_2016,handwashing_access_2017,heathcare_coverage_2017,hops_bedsper1000_2016,doc_per1000_2015,pop_over65_2018,smoking_perc_2016,date,confirm,death,recov
SOM,Somalia,,,5.1,7524090,7484064,314.5441657,37.00522937,9.831248983,25,0.9,0.0229,431231,,2020-04-05,7,0,1
SPM,France,,,,,,,,,,,,,,2020-04-05,1,0,0
SRB,Serbia,1711000,,9,3561039,3421045,7246.731656,97.60069851,,65,5.7,2.4649,1280919,38.9,2020-04-05,1908,51,0
SSD,South Sudan,,,10.2,5483164,5492756,,10.43676984,,31,,,373015,,2020-04-05,1,0,0
SUR,Suriname,,,12.5,286366,289625,6234.044922,84.14052193,,71,3.1,0.7088,39780,25,2020-04-05,10,1,0
SVK,Slovakia,,,,,,,,,,,,,,2020-04-05,485,1,10
SVN,Slovenia,4425000,3188000,5.9,1038755,1028617,26123.97387,99.10944205,,79,4.6,2.8099,405347,22.5,2020-04-05,997,28,79
SWE,Sweden,7440000,,4.8,5086066,5097109,54608.36025,99.29786352,,86,2.6,4.2861,2046362,18.8,2020-04-05,6830,401,205
SWZ,Eswatini,782000,1717000,4.5,581150,555041,4145.974112,58.36818914,24.09696334,63,2.1,0.089,45613,9,2020-04-05,9,0,0
SXM,Netherlands,,,,,,,,,,,,,,2020-04-05,25,4,1
SYC,Seychelles,362000,72000,12.3,47079,49683,16433.93529,100,,71,3.6,1.0076,7349,21.5,2020-04-05,10,0,0
SYR,Syria,,,,,,,,,,,,,,2020-04-05,19,2,2
TCA,United Kingdom,,,,,,,,,,,,,,2020-04-05,5,1,0
TCD,Chad,,,6,7752016,7725735,728.3432354,8.583368588,5.81809378,28,0.4,0.0436,383929,,2020-04-05,9,0,0
TGO,Togo,573000,,2.4,3965693,3923401,679.2570836,15.71230508,10.47480559,43,0.7,0.0487,226375,7.4,2020-04-05,44,3,20
THA,Thailand,38178000,9966000,7,35595105,33833419,7273.563207,98.39644593,83.9233582,80,2.1,0.4655,8262614,19.9,2020-04-05,2169,23,793
TLS,Timor-Leste,75000,,6.7,627120,640852,2035.533908,52.42056634,28.17822884,52,5.9,0.6696,54732,42.6,2020-04-05,1,0,0
TTO,Trinidad and Tobago,375000,,11,703148,686710,17129.91309,93.39890595,,74,3,2.6697,149201,,2020-04-05,104,7,1
TUN,Tunisia,8299000,2515000,8.5,5833160,5732044,3447.50791,90.88012796,78.68689065,70,2.3,1.2999,961725,32.7,2020-04-05,574,22,5
TUR,Turkey,45768000,8383000,11.1,41717836,40601888,9370.176344,97.24644345,,74,2.7,1.7605,6983357,27.2,2020-04-05,27069,574,1042
TWN,Taiwan*,,,,,,,,,,,,,,2020-04-05,363,5,50
TZA,Tanzania,1378000,,5.7,28187903,28130445,1050.675254,28.3903801,47.95269271,43,0.7,0.0399,1465009,14.8,2020-04-05,22,1,3
UGA,Uganda,,,2.5,21693135,21030004,642.7767443,18.45123259,21.22248946,45,0.5,0.0908,829251,10,2020-04-05,52,0,0
UKR,Ukraine,14104000,27811000,6.1,23956825,20665691,3095.173581,96.22086112,,68,8.8,3.0075,7333571,28.9,2020-04-05,1308,37,28
URY,Uruguay,3469000,1947000,7.3,1784031,1665268,17277.97011,96.40118042,,80,2.8,3.736,510997,16.8,2020-04-05,400,5,93
USA,US,,,,,,,,,,,,,,2020-04-05,337072,9619,17448
UZB,Uzbekistan,5346000,,6.5,16522967,16432433,1532.371677,100,,73,4,2.3685,1456345,12.6,2020-04-05,342,2,30
VAT,Holy See,,,,,,,,,,,,,,2020-04-05,7,0,0
VCT,Saint Vincent and the Grenadines,,,,,,,,,,,,,,2020-04-05,7,0,1
VEN,Venezuela,,,,,,,,,,,,,,2020-04-05,159,7,52
VGB,United Kingdom,,,,,,,,,,,,,,2020-04-05,3,0,0
VNM,Vietnam,15498000,,6,47862308,47678087,2566.59695,81.85570363,85.84654415,75,2.6,0.7887,6950543,22.8,2020-04-05,241,0,90
ZAF,South Africa,10472000,,12.7,29290888,28488734,6374.028196,74.82487755,43.99257359,69,2.8,0.7827,3072723,20.3,2020-04-05,1655,11,95
ZMB,Zambia,1072000,,4.5,8761492,8590330,1539.900158,26.08649095,13.93808001,53,2,0.1632,364332,13.8,2020-04-05,39,1,3
ZWE,Zimbabwe,2580000,2987000,1.8,7559801,6879217,2146.996385,36.89173117,36.79126117,54,1.7,0.0763,424438,15.8,2020-04-05,9,1,0
